cp,municipality_name,province_slug
01193,Alegría-Dulantzi,vitoria
01450,Amurrio,vitoria
01468,Amurrio,vitoria
01470,Amurrio,vitoria
01160,Aramaio,vitoria
01165,Aramaio,vitoria
01169,Aramaio,vitoria
01474,Artziniega,vitoria
01478,Artziniega,vitoria
01211,Armiñón,vitoria
01220,Armiñón,vitoria
01510,Arratzua-Ubarrundia,vitoria
01520,Arratzua-Ubarrundia,vitoria
01208,Asparrena,vitoria
01250,Asparrena,vitoria
01260,Asparrena,vitoria
01408,Ayala/Aiara,vitoria
01476,Ayala/Aiara,vitoria
01477,Ayala/Aiara,vitoria
01479,Ayala/Aiara,vitoria
01307,Baños de Ebro/Mañueta,vitoria
01206,Barrundia,vitoria
01212,Berantevilla,vitoria
01118,Bernedo,vitoria
01128,Bernedo,vitoria
01194,Bernedo,vitoria
01216,Bernedo,vitoria
01110,Campezo/Kanpezu,vitoria
01117,Campezo/Kanpezu,vitoria
01138,Zigoitia,vitoria
01196,Zigoitia,vitoria
01308,Kripan,vitoria
01430,Kuartango,vitoria
01439,Kuartango,vitoria
01192,Elburgo/Burgelu,vitoria
01340,Elciego,vitoria
01309,Elvillar/Bilar,vitoria
01207,Iruraiz-Gauna,vitoria
01012,Labastida/Bastida,vitoria
01330,Labastida/Bastida,vitoria
01300,Laguardia,vitoria
01321,Laguardia,vitoria
01306,Lapuebla de Labarca,vitoria
01400,Laudio/Llodio,vitoria
01120,Arraia-Maeztu,vitoria
01129,Arraia-Maeztu,vitoria
01322,Moreda de Álava/Moreda Araba,vitoria
01409,Okondo,vitoria
01320,Oyón-Oion,vitoria
01213,Erriberagoitia/Ribera Alta,vitoria
01420,Erriberagoitia/Ribera Alta,vitoria
01423,Erriberagoitia/Ribera Alta,vitoria
01426,Erriberagoitia/Ribera Alta,vitoria
01428,Erriberagoitia/Ribera Alta,vitoria
01200,Agurain/Salvatierra,vitoria
01440,Urkabustaiz,vitoria
01449,Urkabustaiz,vitoria
01427,Valdegovía/Gaubea,vitoria
01170,Legutio,vitoria
01171,Legutio,vitoria
01001,Vitoria-Gasteiz,vitoria
01002,Vitoria-Gasteiz,vitoria
01003,Vitoria-Gasteiz,vitoria
01004,Vitoria-Gasteiz,vitoria
01005,Vitoria-Gasteiz,vitoria
01006,Vitoria-Gasteiz,vitoria
01007,Vitoria-Gasteiz,vitoria
01008,Vitoria-Gasteiz,vitoria
01009,Vitoria-Gasteiz,vitoria
01010,Vitoria-Gasteiz,vitoria
01013,Vitoria-Gasteiz,vitoria
01015,Vitoria-Gasteiz,vitoria
01191,Vitoria-Gasteiz,vitoria
01195,Vitoria-Gasteiz,vitoria
01130,Zuia,vitoria
01139,Zuia,vitoria
01230,Iruña Oka/Iruña de Oca,vitoria
02250,Abengibre,albacete
02152,Alatoz,albacete
02001,Albacete,albacete
02002,Albacete,albacete
02003,Albacete,albacete
02004,Albacete,albacete
02005,Albacete,albacete
02006,Albacete,albacete
02008,Albacete,albacete
02049,Albacete,albacete
02071,Albacete,albacete
02099,Albacete,albacete
02140,Albacete,albacete
02155,Albacete,albacete
02328,Albacete,albacete
02511,Albacete,albacete
02512,Albacete,albacete
02653,Albatana,albacete
02215,Alborea,albacete
02124,Alcadozo,albacete
02128,Alcadozo,albacete
02210,Alcalá del Júcar,albacete
02211,Alcalá del Júcar,albacete
02214,Alcalá del Júcar,albacete
02252,Alcalá del Júcar,albacete
02300,Alcaraz,albacete
02312,Alcaraz,albacete
02314,Alcaraz,albacete
02330,Alcaraz,albacete
02640,Almansa,albacete
02690,Alpera,albacete
02125,Ayna,albacete
02126,Ayna,albacete
02139,Ayna,albacete
02999,Ayna,albacete
02320,Balazote,albacete
02213,Balsa de Ves,albacete
02614,El Ballestero,albacete
02639,Barrax,albacete
02360,Bienservida,albacete
02130,Bogarra,albacete
02138,Bogarra,albacete
02448,Bogarra,albacete
02691,Bonete,albacete
02610,El Bonillo,albacete
02613,El Bonillo,albacete
02153,Carcelén,albacete
02151,Casas de Juan Núñez,albacete
02329,Casas de Lázaro,albacete
02212,Casas de Ves,albacete
02200,Casas-Ibáñez,albacete
02660,Caudete,albacete
02247,Cenizate,albacete
02693,Corral-Rubio,albacete
02461,Cotillas,albacete
02156,Chinchilla de Monte-Aragón,albacete
02510,Chinchilla de Monte-Aragón,albacete
02520,Chinchilla de Monte-Aragón,albacete
02529,Chinchilla de Monte-Aragón,albacete
02692,Chinchilla de Monte-Aragón,albacete
02695,Chinchilla de Monte-Aragón,albacete
02430,Elche de la Sierra,albacete
02439,Elche de la Sierra,albacete
02449,Elche de la Sierra,albacete
02470,Elche de la Sierra,albacete
02436,Férez,albacete
02637,Fuensanta,albacete
02651,Fuente-Álamo,albacete
02249,Fuentealbilla,albacete
02251,Fuentealbilla,albacete
02260,Fuentealbilla,albacete
02110,La Gineta,albacete
02253,Golosalvo,albacete
02400,Hellín,albacete
02409,Hellín,albacete
02420,Hellín,albacete
02490,Hellín,albacete
02498,Hellín,albacete
02499,Hellín,albacete
02162,La Herrera,albacete
02694,Higueruela,albacete
02696,Hoya-Gonzalo,albacete
02248,Jorquera,albacete
02434,Letur,albacete
02160,Lezuza,albacete
02161,Lezuza,albacete
02142,Liétor,albacete
02410,Liétor,albacete
02230,Madrigueras,albacete
02240,Mahora,albacete
02620,Minaya,albacete
02440,Molinicos,albacete
02638,Montalvos,albacete
02650,Montealegre del Castillo,albacete
02220,Motilleja,albacete
02612,Munera,albacete
02246,Navas de Jorquera,albacete
02530,Nerpio,albacete
02534,Nerpio,albacete
02535,Nerpio,albacete
02536,Nerpio,albacete
02537,Nerpio,albacete
02538,Nerpio,albacete
02539,Nerpio,albacete
02652,Ontur,albacete
02611,Ossa de Montiel,albacete
02136,Paterna del Madera,albacete
02137,Paterna del Madera,albacete
02459,Paterna del Madera,albacete
02313,Peñascosa,albacete
02120,Peñas de San Pedro,albacete
02127,Peñas de San Pedro,albacete
02311,Povedilla,albacete
02129,Pozohondo,albacete
02141,Pozohondo,albacete
02154,Pozo-Lorente,albacete
02327,Pozuelo,albacete
02450,Riópar,albacete
02462,Riópar,albacete
02331,Robledo,albacete
02332,Robledo,albacete
02340,Robledo,albacete
02630,La Roda,albacete
02316,Salobre,albacete
02326,San Pedro,albacete
02435,Socovos,albacete
02437,Socovos,albacete
02100,Tarazona de la Mancha,albacete
02500,Tobarra,albacete
02513,Tobarra,albacete
02514,Tobarra,albacete
02150,Valdeganga,albacete
02315,Vianos,albacete
02636,Villalgordo del Júcar,albacete
02270,Villamalea,albacete
02350,Villapalacios,albacete
02600,Villarrobledo,albacete
02460,Villaverde de Guadalimar,albacete
02310,Viveros,albacete
02480,Yeste,albacete
02482,Yeste,albacete
02484,Yeste,albacete
02485,Yeste,albacete
02486,Yeste,albacete
02487,Yeste,albacete
02488,Yeste,albacete
02489,Yeste,albacete
03786,l'Atzúbia,alicante
03698,Agost,alicante
03837,Agres,alicante
03569,Aigües,alicante
03340,Albatera,alicante
03723,Alcalalí,alicante
03728,Alcalalí,alicante
03841,Alcocer de Planes,alicante
03814,Alcoleja,alicante
03800,Alcoy/Alcoi,alicante
03801,Alcoy/Alcoi,alicante
03802,Alcoy/Alcoi,alicante
03803,Alcoy/Alcoi,alicante
03804,Alcoy/Alcoi,alicante
03818,Alcoy/Alcoi,alicante
03838,Alfafara,alicante
03580,l'Alfàs del Pi,alicante
03581,l'Alfàs del Pi,alicante
03169,Algorfa,alicante
03668,Algueña,alicante
03001,Alicante/Alacant,alicante
03002,Alicante/Alacant,alicante
03003,Alicante/Alacant,alicante
03004,Alicante/Alacant,alicante
03005,Alicante/Alacant,alicante
03006,Alicante/Alacant,alicante
03007,Alicante/Alacant,alicante
03008,Alicante/Alacant,alicante
03009,Alicante/Alacant,alicante
03010,Alicante/Alacant,alicante
03011,Alicante/Alacant,alicante
03012,Alicante/Alacant,alicante
03013,Alicante/Alacant,alicante
03014,Alicante/Alacant,alicante
03015,Alicante/Alacant,alicante
03016,Alicante/Alacant,alicante
03112,Alicante/Alacant,alicante
03113,Alicante/Alacant,alicante
03114,Alicante/Alacant,alicante
03115,Alicante/Alacant,alicante
03138,Alicante/Alacant,alicante
03409,Alicante/Alacant,alicante
03540,Alicante/Alacant,alicante
03559,Alicante/Alacant,alicante
03699,Alicante/Alacant,alicante
03160,Almoradí,alicante
03179,Almoradí,alicante
03827,Almudaina,alicante
03829,l'Alqueria d'Asnar,alicante
03590,Altea,alicante
03599,Altea,alicante
03680,Aspe,alicante
03812,Balones,alicante
03450,Banyeres de Mariola,alicante
03460,Beneixama,alicante
03469,Beneixama,alicante
03390,Benejúzar,alicante
03316,Benferri,alicante
03778,Beniarbeig,alicante
03517,Beniardá,alicante
03850,Beniarrés,alicante
03794,Benigembla,alicante
03759,Benidoleig,alicante
03501,Benidorm,alicante
03502,Benidorm,alicante
03503,Benidorm,alicante
03816,Benifallim,alicante
03178,Benijófar,alicante
03810,Benilloba,alicante
03516,Benimantell,alicante
03769,Benimeli,alicante
03720,Benissa,alicante
03726,Benitachell/el Poble Nou de Benitatxell,alicante
03410,Biar,alicante
03380,Bigastro,alicante
03518,Bolulla,alicante
03111,Busot,alicante
03710,Calp,alicante
03510,Callosa d'en Sarrià,alicante
03317,Callosa de Segura,alicante
03360,Callosa de Segura,alicante
03560,el Campello,alicante
03420,Castalla,alicante
03793,Castell de Castells,alicante
03158,Catral,alicante
03820,Cocentaina,alicante
03350,Cox,alicante
03330,Crevillent,alicante
03339,Crevillent,alicante
03811,Quatretondeta,alicante
03159,Daya Nueva,alicante
03177,Daya Vieja,alicante
03700,Dénia,alicante
03709,Dénia,alicante
03749,Dénia,alicante
03770,Dénia,alicante
03780,Dénia,alicante
03150,Dolores,alicante
03139,Elche/Elx,alicante
03194,Elche/Elx,alicante
03195,Elche/Elx,alicante
03201,Elche/Elx,alicante
03202,Elche/Elx,alicante
03203,Elche/Elx,alicante
03204,Elche/Elx,alicante
03205,Elche/Elx,alicante
03206,Elche/Elx,alicante
03207,Elche/Elx,alicante
03208,Elche/Elx,alicante
03290,Elche/Elx,alicante
03291,Elche/Elx,alicante
03292,Elche/Elx,alicante
03293,Elche/Elx,alicante
03294,Elche/Elx,alicante
03295,Elche/Elx,alicante
03296,Elche/Elx,alicante
03320,Elche/Elx,alicante
03600,Elda,alicante
03813,Facheca,alicante
03509,Finestrat,alicante
03740,Gata de Gorgos,alicante
03840,Gaianes,alicante
03348,Granja de Rocamora,alicante
03140,Guardamar del Segura,alicante
03688,el Fondó de les Neus/Hondón de las Nieves,alicante
03689,el Fondó de les Neus/Hondón de las Nieves,alicante
03440,Ibi,alicante
03310,Jacarilla,alicante
03727,Xaló,alicante
03730,Jávea/Xàbia,alicante
03737,Jávea/Xàbia,alicante
