code,name,name_normalized,sector_slug
00111010,Oficiales de las Fuerzas Armadas,oficiales de las fuerzas armadas,seguridad
00121013,Suboficiales de las Fuerzas Armadas,suboficiales de las fuerzas armadas,seguridad
00201014,Soldados Profesionales,soldados profesionales,seguridad
11111012,"Miembros del Poder Ejecutivo (Nacional, Autonómico y Local) y del Poder Legislativo","miembros del poder ejecutivo (nacional, autonomico y local) y del poder legislativo",comercial
11121015,Personal Directivo de la Administración Pública,personal directivo de la administracion publica,comercial
11131018,Directores de Organizaciones de Interés Social,directores de organizaciones de interes social,comercial
11201012,"Directores Generales de Empresa de 10 o Más Asalariados, en General","directores generales de empresa de 10 o mas asalariados, en general",comercial
12111015,"Directores de Departamento de Administración y Finanzas, en General","directores de departamento de administracion y finanzas, en general",comercial
12121018,Directores de Departamento de Relaciones Laborales y Recursos Humanos,directores de departamento de relaciones laborales y recursos humanos,comercial
12191019,Directores de Departamento de Asuntos Jurídicos y Fiscales,directores de departamento de asuntos juridicos y fiscales,comercial
12191028,Directores de Departamento de Control de Calidad,directores de departamento de control de calidad,comercial
12191037,Directores de Departamento de Diseño,directores de departamento de diseno,comercial
12191046,Directores de Departamento de Información,directores de departamento de informacion,comercial
12191055,Directores de Departamento de Instalaciones y Mantenimiento,directores de departamento de instalaciones y mantenimiento,comercial
12191064,Directores de Departamento de Peritaje,directores de departamento de peritaje,comercial
12191073,Directores de Departamento de Planificación y Desarrollo,directores de departamento de planificacion y desarrollo,comercial
12211014,"Directores Comerciales, en General","directores comerciales, en general",comercial
12211023,"Directores de Departamento de Comercialización y Ventas, en General","directores de departamento de comercializacion y ventas, en general",comercial
12211032,Directores de Departamento de Marketing,directores de departamento de marketing,comercial
12211041,Directores de Departamento de Telemarketing,directores de departamento de telemarketing,comercial
12221017,"Directores de Departamentos de Publicidad y/o Relaciones Públicas, en General","directores de departamentos de publicidad y/o relaciones publicas, en general",comercial
12221026,Directores de Gabinete de Prensa,directores de gabinete de prensa,comercial
12231010,Directores de Departamento de Proyectos Industriales,directores de departamento de proyectos industriales,comercial
12231029,Directores de Departamentos y/o Laboratorio de Investigación y Desarrollo (I+d),directores de departamentos y/o laboratorio de investigacion y desarrollo (i+d),comercial
13111018,"Directores de Departamentos de Producción en Explotaciones Agrarias, Ganaderas, Caza, Forestales","directores de departamentos de produccion en explotaciones agrarias, ganaderas, caza, forestales",comercial
13111027,"Gerentes de Explotaciones Agrícolas, Ganaderas, de Caza, de Silvicultura y/o Forestales, con Menos de 10 Asalariados","gerentes de explotaciones agricolas, ganaderas, de caza, de silvicultura y/o forestales, con menos de 10 asalariados",comercial
13121011,Directores de Departamentos de Producciones en Explotaciones Pesqueras y/o Acuícolas,directores de departamentos de producciones en explotaciones pesqueras y/o acuicolas,comercial
13121020,Gerentes de Explotaciones Pesqueras y/o Acuícolas,gerentes de explotaciones pesqueras y/o acuicolas,comercial
13131014,"Directores de Departamento de Producción en Empresa Industrial de 10 o Más Asalariados, en General","directores de departamento de produccion en empresa industrial de 10 o mas asalariados, en general",comercial
13131023,"Gerentes de Empresa Industrial en General, con Menos de 10 Asalariados","gerentes de empresa industrial en general, con menos de 10 asalariados",comercial
13141017,Directores de Explotaciones Mineras,directores de explotaciones mineras,comercial
13151010,"Directores de Departamento de Abastecimiento, Distribución y/o Logística, en General","directores de departamento de abastecimiento, distribucion y/o logistica, en general",comercial
13151029,Directores de Departamento de Operaciones en Empresa de Almacenamiento,directores de departamento de operaciones en empresa de almacenamiento,comercial
13151038,"Directores de Departamento de Operaciones en Empresa de Transporte, en General","directores de departamento de operaciones en empresa de transporte, en general",comercial
13151047,"Gerentes de Empresa de Transportes, Almacenamiento, Comunicaciones y/o Logística, con Menos de 10 Asalariados","gerentes de empresa de transportes, almacenamiento, comunicaciones y/o logistica, con menos de 10 asalariados",comercial
13151056,Inspectores de Empresas de Transporte,inspectores de empresas de transporte,comercial
13151065,Jefes de Operaciones de Vuelo,jefes de operaciones de vuelo,comercial
13151074,"Jefes de Tráfico en Empresas de Transporte, en General","jefes de trafico en empresas de transporte, en general",comercial
13161013,Directores de Departamento de Producción en Empresa de Construcción,directores de departamento de produccion en empresa de construccion,comercial
13161022,"Gerentes de Empresa de Construcción, con Menos de 10 Asalariados","gerentes de empresa de construccion, con menos de 10 asalariados",comercial
13211017,Directores de Departamento de Operaciones en Empresa de Comunicación,directores de departamento de operaciones en empresa de comunicacion,comercial
13211026,"Directores de Departamento de Servicios Informáticos, en General","directores de departamento de servicios informaticos, en general",comercial
13221010,Directores de Servicios Sociales para Niños,directores de servicios sociales para ninos,comercial
13231013,Directores de Departamentos de Operaciones en Empresas de Servicios Sanitarios y/o Veterinarios,directores de departamentos de operaciones en empresas de servicios sanitarios y/o veterinarios,comercial
13231022,Gerentes de Área o Centro Sanitario,gerentes de area o centro sanitario,comercial
13231031,"Gerentes de Empresa de Servicios Sanitarios y/o Veterinarios, con Menos de 10 Asalariados","gerentes de empresa de servicios sanitarios y/o veterinarios, con menos de 10 asalariados",comercial
13241016,Directores de Servicios Sociales para Personas Mayores,directores de servicios sociales para personas mayores,comercial
13251019,Directores de Otros Servicios Sociales,directores de otros servicios sociales,comercial
13261012,Directores de Departamento de Operaciones en Empresas de Actividades Educativas y/o Socioculturales,directores de departamento de operaciones en empresas de actividades educativas y/o socioculturales,comercial
13261021,Directores Técnicos de Centro Educativo,directores tecnicos de centro educativo,comercial
13271015,Directores de Sucursal de Empresa de Seguros,directores de sucursal de empresa de seguros,comercial
13271024,Directores de Sucursal de Entidad Financiera,directores de sucursal de entidad financiera,comercial
13291011,"Directores de Departamento de Operaciones en Empresas de Intermediación, en General","directores de departamento de operaciones en empresas de intermediacion, en general",comercial
13291020,Directores de Laboratorio Foto-Cine,directores de laboratorio foto-cine,comercial
13291039,Directores de Programación en Radio y Televisión.,directores de programacion en radio y television.,comercial
14111011,"Directores de Hotel, de 10 o Más Asalariados","directores de hotel, de 10 o mas asalariados",hosteleria
14111020,"Gerentes de Hotel, con Menos de 10 Asalariados","gerentes de hotel, con menos de 10 asalariados",hosteleria
14191015,"Gerentes de Albergues, Campamentos y/o Camping, con Menos de 10 Asalariados","gerentes de albergues, campamentos y/o camping, con menos de 10 asalariados",hosteleria
14191024,"Gerentes de Pensión, Fonda o Similares, con Menos de 10 Asalariados","gerentes de pension, fonda o similares, con menos de 10 asalariados",hosteleria
14211010,"Directores de Departamentos de Operaciones en Empresa de Hostelería y/o Restauración, de 10 o Más Asalariados","directores de departamentos de operaciones en empresa de hosteleria y/o restauracion, de 10 o mas asalariados",hosteleria
14211029,"Directores de Restaurante, de 10 o Más Asalariados","directores de restaurante, de 10 o mas asalariados",hosteleria
14211038,"Gerentes de Restaurante y Establecimientos Similares, con Menos de 10 Asalariados","gerentes de restaurante y establecimientos similares, con menos de 10 asalariados",hosteleria
14221013,"Gerentes de Café, Bar y Establecimientos Similares, con Menos de 10 Asalariados","gerentes de cafe, bar y establecimientos similares, con menos de 10 asalariados",hosteleria
14291014,Directores y Gerentes de Empresas de Catering y Otras Empresas de Restauración,directores y gerentes de empresas de catering y otras empresas de restauracion,hosteleria
14311019,"Directores de Departamento de Operaciones en Comercio Mayorista, en General","directores de departamento de operaciones en comercio mayorista, en general",hosteleria
14311028,"Gerentes de Empresa de Comercio al por Mayor, con Menos de 10 Asalariados","gerentes de empresa de comercio al por mayor, con menos de 10 asalariados",hosteleria
14321012,"Directores de Departamento de Operaciones en Comercio Minorista, en General","directores de departamento de operaciones en comercio minorista, en general",hosteleria
14321021,"Directores de Departamento de Operaciones en Taller de Reparación de Vehículos, de 10 o Más Asalariados","directores de departamento de operaciones en taller de reparacion de vehiculos, de 10 o mas asalariados",hosteleria
14321030,Gerentes de Empresa de Comercio al por Menor con Menos de 10 Asalariados,gerentes de empresa de comercio al por menor con menos de 10 asalariados,hosteleria
14321049,"Gerentes de Taller de Reparaciones de Vehículos, con Menos de 10 Asalariados","gerentes de taller de reparaciones de vehiculos, con menos de 10 asalariados",hosteleria
15011015,"Gerentes de Empresas Educativa y/o Sociocultural, con Menos de 10 Asalariados","gerentes de empresas educativa y/o sociocultural, con menos de 10 asalariados",comercial
15011024,Gestores de Centros Deportivos,gestores de centros deportivos,comercial
15091019,Directores de Departamento de Operaciones en Empresa de Actividades Turísticas,directores de departamento de operaciones en empresa de actividades turisticas,comercial
15091028,"Directores de Departamento de Operaciones en Empresas de Servicios a Otras Empresas, en General","directores de departamento de operaciones en empresas de servicios a otras empresas, en general",comercial
15091037,"Directores de Departamento de Operaciones en Empresas de Servicios Personales, de Limpieza y Similares, en General","directores de departamento de operaciones en empresas de servicios personales, de limpieza y similares, en general",comercial
15091046,"Gerentes de Empresa de Actividades Turísticas, con Menos de 10 Asalariados","gerentes de empresa de actividades turisticas, con menos de 10 asalariados",comercial
15091055,"Gerentes de Empresa de Intermediación, en General, con Menos de 10 Asalariados","gerentes de empresa de intermediacion, en general, con menos de 10 asalariados",comercial
15091064,"Gerentes de Empresa de Servicios a Otras Empresas, en General, con Menos de 10 Asalariados","gerentes de empresa de servicios a otras empresas, en general, con menos de 10 asalariados",comercial
15091073,"Gerentes de Empresa de Servicios Personales de Limpieza o Similares, con Menos de 10 Asalariados","gerentes de empresa de servicios personales de limpieza o similares, con menos de 10 asalariados",comercial
21111011,Médicos Especialistas en Medicina Familiar y Comunitaria,medicos especialistas en medicina familiar y comunitaria,salud
21111020,"Médicos, Medicina General","medicos, medicina general",salud
21121023,Médicos Especialistas en Alergología,medicos especialistas en alergologia,salud
21121032,Médicos Especialistas en Análisis Clínicos,medicos especialistas en analisis clinicos,salud
21121041,Médicos Especialistas en Anatomía Patológica,medicos especialistas en anatomia patologica,salud
21121050,Médicos Especialistas en Anestesiología y Reanimación,medicos especialistas en anestesiologia y reanimacion,salud
21121061,Médicos Especialistas en Angiología y Cirugía Vascular,medicos especialistas en angiologia y cirugia vascular,salud
21121072,Médicos Especialistas en Aparato Digestivo,medicos especialistas en aparato digestivo,salud
